Parameter,Truth,Median,RelativeError,IQR,CaseIndex,Degradation,WindowCycles
Gab,0.05,0.0500000000000371,7.4273920347423e-13,7.23372750588425e-13,1,clean,0.25
Gbc,0.0333333333333333,0.0333333333333488,4.64836502622745e-13,1.19861759406703e-12,1,clean,0.25
Gca,0.0666666666666667,0.0666666666666685,2.81025203108243e-14,3.74644759659759e-13,1,clean,0.25
Gammaab,12.5,12.5000000000182,1.45831791087403e-12,6.67741417714751e-10,1,clean,0.25
Gammabc,8.33333333333333,8.33333333333143,2.28936869461904e-13,6.68885391519325e-10,1,clean,0.25
Gammaca,16.6666666666667,16.6666666666309,2.14846807011781e-12,4.61760407688416e-10,1,clean,0.25
Cab,8e-05,7.99999999999796e-05,2.55465136891897e-13,3.4870652372565e-16,1,clean,0.25
Cbc,0.00012,0.000120000000000003,2.45074866072244e-14,3.15882302953652e-16,1,clean,0.25
Cca,6e-05,6.00000000000006e-05,9.14795583034644e-15,2.83579854477162e-16,1,clean,0.25
Rab,20,19.9999999999851,7.42872430237185e-13,2.89347212856228e-10,1,clean,0.25
Rbc,30,29.9999999999861,4.64813372976399e-13,1.0787601922857e-09,1,clean,0.25
Rca,15,14.9999999999996,2.8066438062524e-14,8.42952374568995e-11,1,clean,0.25
Lab,0.08,0.0799999999998833,1.4583820262537e-12,4.27353985532619e-12,1,clean,0.25
Lbc,0.12,0.120000000000027,2.28983498828939e-13,9.63193413916485e-12,1,clean,0.25
Lca,0.06,0.0600000000001289,2.14851284911314e-12,1.66232999587734e-12,1,clean,0.25
Gab,0.05,0.0499999999999999,1.52655665885959e-15,4.18415302405606e-15,2,clean,0.5
Gbc,0.0333333333333333,0.0333333333333331,7.28583859910259e-15,5.55111512312578e-15,2,clean,0.5
Gca,0.0666666666666667,0.0666666666666674,1.10328413072125e-14,1.06303854607859e-14,2,clean,0.5
Gammaab,12.5,12.4999999999998,1.30739863379858e-14,2.57749377396976e-12,2,clean,0.5
Gammabc,8.33333333333333,8.33333333333348,1.79056769411545e-14,2.69828603904898e-12,2,clean,0.5
Gammaca,16.6666666666667,16.6666666666667,8.5265128291212e-16,3.90798504668055e-13,2,clean,0.5
Cab,8e-05,8.00000000000001e-05,6.7762635780344e-16,1.8702487475375e-18,2,clean,0.5
Cbc,0.00012,0.00012,3.3881317890172e-16,1.59919820441612e-18,2,clean,0.5
Cca,6e-05,6e-05,3.3881317890172e-16,6.84402621381475e-19,2,clean,0.5
Rab,20,20,1.4210854715202e-15,1.67332814271504e-12,2,clean,0.5
Rbc,30,30.0000000000002,7.3422749361877e-15,4.9986681460723e-12,2,clean,0.5
Rca,15,14.9999999999998,1.10134124042816e-14,2.39097630583274e-12,2,clean,0.5
Lab,0.08,0.080000000000001,1.30104260698261e-14,1.64868119156836e-14,2,clean,0.5
Lbc,0.12,0.119999999999998,1.7925475918427e-14,3.88578058618805e-14,2,clean,0.5
Lca,0.06,0.06,8.0953762212251e-16,1.40859546249317e-15,2,clean,0.5
