CaseIndex,Degradation,WindowCycles,NoiseSnrDb,Coverage,MedianCondition,MedianEquationResidual,MedianPowerResidual,MaxRelativeError,P90RelativeError,Pass
1,clean,0.25,Inf,1,36.2586919884088,2.7549900332074e-13,1.65890202201841e-13,2.14851284911314e-12,1.87243365257217e-12,1
2,clean,0.5,Inf,1,30.9893410854097,9.59902803145247e-15,6.84852814065943e-15,1.7925475918427e-14,1.59730006998871e-14,1
3,clean,1,Inf,1,30.9893410854097,9.61686455646032e-15,6.85229364477077e-15,2.45174251271389e-14,2.08473238672013e-14,1
4,clean,2,Inf,1,30.9893410854096,9.0257273322023e-15,6.85091971887122e-15,1.98914958578674e-14,1.76537673368671e-14,1
5,noise_60db,0.25,60,0.00251256281407035,71.6124623582699,0.0223766980223802,0.022410002813272,298.474215589992,23.0561947589897,0
6,noise_60db,0.5,60,1,30.9917915093672,0.00116559726118015,0.00148418403305266,0.00059168361580074,0.000240388797359448,1
7,noise_60db,1,60,1,30.9928576596673,0.000224876263565285,0.00125908735323745,0.000667235290826088,0.000657090919195555,1
8,noise_60db,2,60,1,30.9919049412162,0.00015783922576987,0.00125729146337535,0.000748485563640683,0.000658933001507806,1
9,noise_40db,0.25,40,0.00251256281407035,31.4536639821154,0.0634671172230927,0.0428801552312179,781.072281929195,314.170611503433,0
10,noise_40db,0.5,40,1,30.9718524560668,0.0114701847462215,0.0147994494772231,0.011467576977943,0.0108380776607644,1
11,noise_40db,1,40,1,30.9894569654556,0.00432325346839726,0.0129880759953565,0.00906488702174982,0.00765977244055574,1
12,noise_40db,2,40,1,30.9819648029053,0.00179926825895785,0.0126590112689028,0.0101890135451185,0.00836194196238459,1
13,current_delay_50us,0.25,Inf,1,36.2586919884088,0.0108146507707676,0.00587162420232916,0.482028576401514,0.398715171126742,0
14,current_delay_50us,0.5,Inf,1,30.9893410854097,0.0168014945543192,0.01255977118276,0.37248983931553,0.311947285492837,0
15,current_delay_50us,1,Inf,1,30.9893410854097,0.0168014945543191,0.0125597711827598,0.372489839315532,0.31194728549284,0
16,current_delay_50us,2,Inf,1,30.9893410854096,0.0168014945543191,0.0125597711827598,0.372489839315532,0.31194728549284,0
17,gain_mismatch,0.25,Inf,1,36.284509790518,0.00152429630381028,0.00126791363394838,0.0125704845793553,0.0097676389671144,1
18,gain_mismatch,0.5,Inf,1,31.0284339486602,0.0015164054599973,0.00127681763588253,0.0135507353964629,0.0106245113277806,1
19,gain_mismatch,1,Inf,1,31.0284339486602,0.00151640545999729,0.00127681763588243,0.0135507353964682,0.0106245113277847,1
20,gain_mismatch,2,Inf,1,31.0284339486602,0.00151640545999728,0.00127681763588246,0.013550735396464,0.0106245113277818,1
21,delay_plus_noise_60db,0.25,60,0.0050251256281407,84.0857234487393,0.0124486877126989,0.00891098206484,2324.68958951531,50.8139531876267,0
22,delay_plus_noise_60db,0.5,60,1,30.992779259623,0.0168061879974163,0.0126339006372432,0.373571648986827,0.312224757292234,0
23,delay_plus_noise_60db,1,60,1,30.9944463733351,0.0167793425433704,0.0126102786890072,0.373617942444018,0.3125732951053,0
24,delay_plus_noise_60db,2,60,1,30.9938159601208,0.0167778370731355,0.0126088613732465,0.373696375069769,0.312782096991343,0
25,quantized_12bit,0.25,Inf,0.201005025125628,51.1122394402381,0.00829686676031423,0.00726824900112446,292.21727686861,4.63779092875385,0
26,quantized_12bit,0.5,Inf,1,30.9893796406355,0.000245633484922002,0.000288987893340358,0.00152888760847951,0.0013560482991039,1
27,quantized_12bit,1,Inf,1,30.9911766829228,5.6097020126094e-05,0.000247377238222019,0.00180741687951048,0.00170845741549935,1
28,quantized_12bit,2,Inf,1,30.9911766829228,5.60970201261162e-05,0.000247377238222014,0.00180741687951069,0.00170845741549984,1
