CaseIndex,CaseId,ShortTitle,PanelTitle,Group,TruthModel,ExpectedCandidate,Parameter,ParameterGroup,Unit,Truth,MedianEstimate,Q25,Q75,NormalizedEstimate
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,G_{ab},dissipative,S,0.05,0.05,0.05,0.05,1
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,G_{bc},dissipative,S,0.05,0.05,0.05,0.05,1
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,G_{ca},dissipative,S,0.05,0.05,0.05,0.05,1
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,L_{ab},magnetic,H,0.08,0.08,0.08,0.08,1
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,L_{bc},magnetic,H,0.08,0.08,0.08,0.08,1
1,D-GL-bal,Delta GL balanced,"Delta: balanced GL",delta,delta_parallel_gl,delta_gl_balanced,L_{ca},magnetic,H,0.08,0.08,0.08,0.08,1
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,G_{ab},dissipative,S,0.05,0.05,0.05,0.05,1
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,G_{bc},dissipative,S,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333334,0.999999999999999
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,G_{ca},dissipative,S,0.0666666666666667,0.0666666666666667,0.0666666666666666,0.0666666666666667,1
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,L_{ab},magnetic,H,0.08,0.08,0.08,0.08,1
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,L_{bc},magnetic,H,0.12,0.12,0.12,0.12,1
2,D-GL-unb,Delta GL unbalanced,"Delta: unbalanced GL",delta,delta_parallel_gl,delta_gl_full_unbalanced,L_{ca},magnetic,H,0.06,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.999999999999998
3,D-GLC-noise,Delta GLC + noise,"Delta: GLC, noisy",delta,delta_parallel_glc,delta_glc_full_unbalanced,G_{ab},dissipative,S,0.05,0.0500000099230271,0.0499672680752586,0.0500343490977999,1.00000019846054
